Url: ,https://www.zomato.com/mumbai/burger-king-dadar-west/order
Korean Spicy Chicken (4 Pc),199 rupee,"""Boneless Chicken dunked in hot and sweet Korean glaze. Qty: 155 Gms| Kcal: 350.176 | Carbs 27.51 Gms| Sugar: 0 Gms| Fat: 15.5 Gms| Saturated fat: 5.75 Gms| Protein: 25.16 Gms| Sodium: 1592.60 Mg Contains: Gluten, Soybean , Milk , Sesame seeds"""
Korean Spicy Chicken (4pc) + Crispy Chicken Burger.,298 rupee,
Korean Spicy Chicken (7 Pc),299 rupee,"""Boneless Chicken dunked in hot and sweet Korean glaze. Qty: 221 Gms| Kcal: 595.04 | Carbs 24.77 Gms| Sugar: 0 Gms| Fat: 39.89 Gms| Saturated fat: 15.25 Gms| Protein: 34.23 Gms| Sodium: 2188.96 Mg Contains: Gluten, Soybean , Milk , Sesame seeds"""
Korean Spicy Chicken Wings (4pc),229 rupee,"""Chicken Wings dunked in hot and sweet Korean glaze. Qty: 172 Gms| Kcal: 496.80 | Carbs 28.19 Gms| Sugar: 0 Gms| Fat: 30.34 Gms| Saturated fat: 11.04 Gms| Protein: 27.74 Gms| Sodium: 2714.33 Mg Contains: Gluten, Soybean , Milk , Sesame seeds"""
2Crispy Veg Burger+Korean Spicy Fries+2Coke.,399 rupee,
2Crispy Chicken Burger+Korean Spicy Chicken(4pc)+2Coke.,587 rupee,
Korean Spicy Paneer Burger Meal.,553 rupee,
Korean Spicy Chicken Burger Meal.,553 rupee,
Korean Spicy Paneer+Korean Spicy Fries(M).,458 rupee,
Korean Spicy Chicken+Korean Spicy Fries(M).,458 rupee,
Korean Spicy Chicken Wings(4pc) + Korean Spicy Chicken (4pc).,379 rupee,
"Extra Crunchy Veg Whopper Deluxe(Reg. Size Bun),",149 rupee,"New Whopper Deluxe in premium glazed bun (regular size). 7 layers of taste: Extra Crunchy Veg patty, fresh onion, crispy lettuce, juicy tomatoes (seasonal) tangy gherkins, creamy & smoky sauces. Qty: 195 gms| Kcal: 484 | Carbs: 49 gms| Sugar: 10 gms| Fat: 27 gms| Saturated fat: 9 gms| Protein: 11 gms|Qty: 194 Gms| Kcal: 456 | Carbs 61.6 Gms| Sugar: 9.2 Gms| Fat: 20 Gms| Saturated fat: 11.9 Gms| Protein: 7.2 Gms| Sodium: 1428.1 Mg Contains: Gluten, Soybean, Milk, Sesame seeds."
"Crunchy Soft Paneer Whopper Deluxe(Reg. Size Bun),",199 rupee,"New Whopper Deluxe in premium glazed bun (regular size). 7 layers of taste: Crunchy Soft Paneer patty, fresh onion, crispy lettuce, juicy tomatoes (seasonal) tangy gherkins, creamy & smoky sauces. Qty: 225 gms| Kcal: 621 | Carbs: 57 gms| Sugar: 1 gms| Fat: 34 gms| Saturated fat: 14 gms| Protein: 21 gms|"
"Molten Cheese Lava Whopper Deluxe(Reg. Size Bun),",199 rupee,"New Whopper Deluxe in premium glazed bun (regular size). 7 layers of taste: Molten Cheese Lava patty, fresh onion, crispy lettuce, juicy tomatoes (seasonal) tangy gherkins, creamy & smoky sauces. Qty: 230 gms| Kcal: 765 | Carbs: 35 gms| Sugar: 10 gms| Fat: 54 gms| Saturated fat: 20 gms| Protein: 35 gms|"
"Flame Grilled Chicken Whopper Deluxe(Reg. Size Bun),",199 rupee,"New Whopper Deluxe in premium glazed bun (regular size). 7 layers of taste: Flame-Grilled Chicken patty, fresh onion, crispy lettuce, juicy tomatoes (seasonal) tangy gherkins, creamy & smoky sauces. Qty: 168 gms| Kcal: 327 | Carbs: 35 gms| Sugar: 1 gms| Fat: 14 gms| Saturated fat: 3 gms| Protein: 15 gms|"
"Smokey Crunchy Chicken Whopper Deluxe(Reg. Size Bun),",199 rupee,"New Whopper Deluxe in premium glazed bun (regular size). 7 layers of taste: Smokey Crunchy Chicken patty, fresh onion, crispy lettuce, juicy tomatoes (seasonal) tangy gherkins, creamy & smoky sauces. Qty: 240 gms| Kcal: 834 | Carbs: 76 gms| Sugar: 9 gms| Fat: 60 gms| Saturated fat: 13 gms| Protein: 37 gms|"
"Whopper Deluxe(Reg. Size Bun) Duo,",318 rupee,Choose any New Whopper Deluxe + Snack
"Whopper Deluxe(Reg. Size Bun)- Saver Meals for 2,",731 rupee,Choose any 2 from New Whopper Deluxe Range + 2 Snacks + Coke
Original Whopper Veg(XL size Bun).,189 rupee,"Our Original Whopper with Crunchy Veg Patty, Onions, Lettuce, Tomatoes (Seasonal), Gherkins, Creamy And Smoky Sauces With Xxl Buns. Qty: 285 Gms| Kcal: 681.2 | Carbs 97.1 Gms| Sugar: 23.1 Gms| Fat: 25.4 Gms| Saturated fat: 9.8 Gms| Protein: 15.8 Gms| Sodium: 987.8 Mg Contains: Gluten, Soybean, Milk, Sesame seeds"
Original Whopper Chicken(XL size Bun).,209 rupee,"Our Original Whopper with Flame Grilled Chicken Patty, Onions, Lettuce, Tomatoes (Seasonal), Gherkins, Creamy And Smoky Sauces With Xxl Buns. Qty: 280 Gms| Kcal: 667.2 | Carbs 59.1 Gms| Sugar: 8.7 Gms| Fat: 36.3 Gms| Saturated fat: 8.1 Gms| Protein: 26.2 Gms| Sodium: 1018.7 Mg Contains: Gluten, Soybean, Milk, Sesame seeds"
Crispy Veg Burger.,70 rupee,"Our best-selling burger with crispy veg patty, fresh onion and our signature sauce"
Crispy Chicken Burger,99 rupee,"Crispy Chicken Patty, Onion & Our Signature Tomato Herby Sauce. Qty: 125 Gms| Kcal: 359.1 | Carbs 44.3 Gms| Sugar: 7.5 Gms| Fat: 15.1 Gms| Saturated fat: 4.8 Gms| Protein: 11.5 Gms| Sodium: 592.4 Mg Contains: Gluten, Soybean, Milk, Sesame seeds"
Veg Makhani Burst Burger.,80 rupee,Enjoy Makhani Flavour With Mix Veg Patty Topped Up With Onion
